Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-2283,274214,,Готово,30.01.2024 16:58 ,04.03.2024 10:29 ,nikishinpa,3.0,Заполнение файла приоретизации задач от продаж,nikishinpa
ANL-2357,280635,,Готово,01.03.2024 10:50 ,04.03.2024 10:28 ,nikishinpa,1.0,Выгрузка для ВТБ ГРМ,kluninany
ANL-2306,275609,,Backlog,06.02.2024 11:13 ,01.03.2024 11:12 ,nikishinpa,,ИБ пустые значения по регионам,nikishinpa
ANL-2322,277806,,Hold,15.02.2024 14:37 ,01.03.2024 11:12 ,nikishinpa,3.0,"Создание и автоматизация отчета : СБР- ""Этажи-Бизнес""",nikishinpa
ANL-2350,280458,,Backlog,29.02.2024 16:23 ,01.03.2024 11:11 ,nikishinpa,,Деление по компаниям в крупных регионах (Москва уже есть),nikishinpa
ANL-2349,280456,,Backlog,29.02.2024 16:18 ,01.03.2024 11:11 ,nikishinpa,,Ревизия отчетности в Когнос (убрать старые и дублирующие отчеты),nikishinpa
ANL-2348,280455,,Backlog,29.02.2024 16:17 ,01.03.2024 11:11 ,nikishinpa,,Описание для чего и какой отчет нужен и где находится. Инструкция пользователя.,nikishinpa
ANL-2347,280453,,Backlog,29.02.2024 16:16 ,01.03.2024 11:11 ,nikishinpa,,Описание для чего и какой отчет нужен и где находится. Инструкция пользователя.,nikishinpa
ANL-2344,280442,,Backlog,29.02.2024 16:01 ,01.03.2024 11:11 ,nikishinpa,,"Добавить отчет М2ПРо в Когнос (Фиксации,уникальные,сделки, кол-во подключенных компаний и регионы…)",nikishinpa
ANL-2343,280440,,Backlog,29.02.2024 15:56 ,01.03.2024 11:11 ,nikishinpa,,Доработать общий отчет АНЧ по сотрудникам  (для оценки сотрудников) Рейтинги сотрудников по показателям,nikishinpa
ANL-2157,266083,,Hold,12.12.2023 10:25 ,01.03.2024 11:11 ,nikishinpa,2.0,Настройка выгрузки NPS,nikishinpa
ANL-2122,263877,,Сделaть,30.11.2023 22:00 ,01.03.2024 11:11 ,flerinvs,,Еженеденьный отчет по новым регистрациям ЧР,tanyginadv
ANL-2123,264001,,Hold,01.12.2023 12:58 ,01.03.2024 11:11 ,flerinvs,3.0,Дэшборд для продаж по сделкам_часть 1,flerinvs
ANL-2252,272239,,Готово,22.01.2024 10:51 ,27.02.2024 18:24 ,flerinvs,2.0,Исправить данные в поле Дата оплаты сделки,tatiankoaa
ANL-2335,279425,,Готово,26.02.2024 12:39 ,27.02.2024 15:55 ,balitskayaav,2.0,Выгрузка по среднему сроку раскрытия СБР,novozhilovyp
ANL-2338,279526,,Готово,26.02.2024 16:07 ,27.02.2024 11:46 ,flerinvs,2.0,Квартальный ПОДФТ,flerinvs
ANL-2337,279525,,Готово,26.02.2024 16:06 ,27.02.2024 11:45 ,flerinvs,1.0,Добавление пользователя,flerinvs
ANL-2202,268986,,Готово,26.12.2023 18:03 ,27.02.2024 11:03 ,mikhaelyanta,,Исправить ошибку в работе отчета datalens,kovievanv
